learner,k,n_lakes,mean_label_only_log_mae,median_label_only_log_mae,mean_calibrated_log_mae,median_calibrated_log_mae,mean_source_only_log_mae,median_source_only_log_mae,mean_paired_delta_mae,median_paired_delta_mae,delta_ci_lo,delta_ci_hi,frac_lakes_delta_positive,classification,bootstrap_n,bootstrap_seed
MLP,1,24,0.2502577529560961,0.25443718546557625,0.20203555011426358,0.18616134605273987,,,0.04775078205234051,0.04939298638232824,0.014152784320856204,0.07781380195021093,0.75,positive,10000,0
MLP,3,24,0.22932731433683237,0.23354267402416365,0.17957047870247952,0.17261821519378973,,,0.05008225130372603,0.04231848971942635,0.018725337637535276,0.07778738831928232,0.8333333333333334,positive,10000,0
MLP,5,24,0.22318072273639497,0.23105009927076367,0.17768896727757308,0.17625158474178493,,,0.0489307122062943,0.038342929988894686,0.026440124140474586,0.07103301216506962,0.8333333333333334,positive,10000,0
MLP,10,24,0.21828159215951967,0.22854646540860257,0.1665990260935434,0.15482975915844382,,,0.0520700065528595,0.04389880696917642,0.02968443256641136,0.07486292461524778,0.7916666666666666,positive,10000,0
PLSR,1,24,0.2502577529560961,0.2544371854655762,0.2402448147973221,0.22169207281726283,,,0.011785831395409743,0.016414561637739647,-0.018856186749681345,0.03833264293066918,0.7083333333333334,crosses_zero,10000,0
PLSR,3,24,0.2293273143368324,0.23354267402416368,0.20877162140699865,0.19729887737275764,,,0.021553762911170105,0.01880886276786896,-0.0008573305236857503,0.042163640118042085,0.7083333333333334,crosses_zero,10000,0
PLSR,5,24,0.22318072273639497,0.23105009927076364,0.2006943122574757,0.19640720447449955,,,0.026850854609430524,0.030490862961425676,0.00884190829002479,0.044314607581389796,0.7083333333333334,positive,10000,0
PLSR,10,24,0.21828159215951967,0.22854646540860263,0.18696180968280687,0.17496399870954932,,,0.032971539528621925,0.03083271563872438,0.015532900282690065,0.04995628611631071,0.7916666666666666,positive,10000,0
XGBoost,1,24,0.25025775295609604,0.25443718546557614,0.1961493545989792,0.17913031243028293,,,0.052898671095365495,0.0460160311442434,0.024039491117923667,0.08083110447894372,0.7916666666666666,positive,10000,0
XGBoost,3,24,0.22932731433683237,0.23354267402416365,0.17316738988692815,0.1637966433700612,,,0.05672041059747551,0.053328936696288624,0.03066080884960183,0.08116489849774756,0.9166666666666666,positive,10000,0
XGBoost,5,24,0.22318072273639497,0.23105009927076364,0.1787279770942647,0.18056688862009773,,,0.04509228387044697,0.04606999763736072,0.020396555618698353,0.06914373751063736,0.7916666666666666,positive,10000,0
XGBoost,10,24,0.21828159215951967,0.22854646540860257,0.16627355374500305,0.1577553162850517,,,0.052283347164297896,0.042981851782749506,0.02892329682362946,0.07620630801886374,0.8333333333333334,positive,10000,0
